,dt,data_directory,clean_file,lat,lon,rad,N,sample_freq,burn_plot,geometry,max_FRP_index,max_FRP_datetime,max_FRP,MW_FRE,LW_FRE
46,2022-02-04T13:56:04+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A3_2022-02-04T13:56:04+00:00.csv,30.236098,-82.411312,A3,19955,1.0,B2,POINT (-82.411312 30.236098),10653,2022-02-04T16:53:37+00:00,53140.708104384714,2173428.839256196,2165464.485383233
47,2022-02-04T12:42:06+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_17_2022-02-04T12:42:06+00:00.csv,30.236935,-82.412725,17,9789,1.0,C4,POINT (-82.412725 30.236935),7852,2022-02-04T14:52:58+00:00,42075.88114972029,6013294.0898393635,5951433.332716619
48,2022-02-04T15:35:19+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_17_2022-02-04T15:35:19+00:00.csv,30.235978,-82.410333,17,11381,1.0,B1,POINT (-82.410333 30.235978),7322,2022-02-04T17:37:21+00:00,15526.190110110956,850523.075192941,844411.6937599803
49,2022-02-04T13:12:38+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5B_2022-02-04T13:12:38+00:00.csv,30.236875,-82.412168,5B,8441,1.0,C4,POINT (-82.412168 30.236875),6221,2022-02-04T14:56:19+00:00,29929.36549638687,3309396.762396224,3287478.060956949
50,2022-02-04T15:44:43+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5B_2022-02-04T15:44:43+00:00.csv,30.23624,-82.410232,5B,10814,1.0,B1,POINT (-82.410232 30.23624),6374,2022-02-04T17:30:57+00:00,13530.944383711723,1377852.6396996703,1376540.3051263161
51,2022-02-04T13:04:57+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_18_2022-02-04T13:04:57+00:00.csv,30.23607,-82.412242,18,10306,1.0,B4,POINT (-82.412242 30.23607),8967,2022-02-04T15:34:24+00:00,25868.671636519193,4541813.717213352,4502947.83123715
52,2022-02-04T16:25:09+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_18_2022-02-04T16:25:09+00:00.csv,30.235497,-82.410532,18,9331,1.0,D1,POINT (-82.410532 30.235497),6425,2022-02-04T18:12:14+00:00,18117.908321939667,1657841.3539493252,1645620.373661034
53,2022-02-04T12:51:42+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-04T12:51:42+00:00.csv,30.235725,-82.412582,666,11962,1.0,B4,POINT (-82.412582 30.235725),10585,2022-02-04T15:48:07+00:00,42246.41258007274,5087214.418234715,5032632.312411464
54,2022-02-04T16:35:13+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-04T16:35:13+00:00.csv,30.235338,-82.409772,666,9376,1.0,D1,POINT (-82.409772 30.235338),6369,2022-02-04T18:21:22+00:00,22310.642857433882,1387703.8936886173,1378961.6703464708
55,2022-02-04T12:55:43+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-04T12:55:43+00:00.csv,30.235752,-82.41229,1,11624,1.0,B4,POINT (-82.41229 30.235752),10265,2022-02-04T15:46:48+00:00,47497.868093033634,5444423.449823391,5395224.774286165
56,2022-02-04T16:31:45+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-04T16:31:45+00:00.csv,30.235562,-82.409853,1,9444,1.0,D1,POINT (-82.409853 30.235562),6181,2022-02-04T18:14:46+00:00,24130.29137532903,1896084.7917053206,1895562.270516777
57,2022-02-04T12:58:15+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-04T12:58:15+00:00.csv,30.236407,-82.412527,22,8849,1.0,C4,POINT (-82.412527 30.236407),7814,2022-02-04T15:08:29+00:00,30461.393349918555,4797867.835588717,4738192.931165601
58,2022-02-04T15:30:32+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-04T15:30:32+00:00.csv,30.23636,-82.410722,22,11518,1.0,B1,POINT (-82.410722 30.23636),7178,2022-02-04T17:30:10+00:00,19530.780504283484,1255192.6520393745,1254098.2123144844
59,2022-02-04T14:09:53+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_10_2022-02-04T14:09:53+00:00.csv,30.236272,-82.410918,10,18034,1.0,B2,POINT (-82.410918 30.236272),8965,2022-02-04T16:39:18+00:00,8771.154442746296,1786120.7893237697,1782531.9351539786
60,2022-02-04T13:15:29+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-04T13:15:29+00:00.csv,30.236083,-82.411943,25,10212,1.0,B4,POINT (-82.411943 30.236083),8670,2022-02-04T15:39:59+00:00,31628.712718353505,3478515.356434614,3453759.6338985637
61,2022-02-04T16:38:30+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-04T16:38:30+00:00.csv,30.235115,-82.41021,25,8821,1.0,D1,POINT (-82.41021 30.235115),6236,2022-02-04T18:22:26+00:00,7298.571213491009,1789008.376817623,1788661.717276585
62,2022-02-04T12:48:40+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-04T12:48:40+00:00.csv,30.23669,-82.412682,4,9131,1.0,C4,POINT (-82.412682 30.23669),7991,2022-02-04T15:01:51+00:00,34242.11721275802,4901442.831739901,4861091.897149945
63,2022-02-04T15:49:18+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-04T15:49:18+00:00.csv,30.236118,-82.409933,4,10765,1.0,B1,POINT (-82.409933 30.236118),6734,2022-02-04T17:41:32+00:00,13765.293751291552,1519678.906991704,1512206.484046237
64,2022-02-04T12:41:54+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-04T12:41:54+00:00.csv,30.236152,-82.412562,16,12317,1.0,B4,POINT (-82.412562 30.236152),10271,2022-02-04T15:33:05+00:00,27122.001935560573,3535423.856082366,3501214.723854242
65,2022-02-04T16:21:39+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-04T16:21:39+00:00.csv,30.235535,-82.410187,16,9596,1.0,D1,POINT (-82.410187 30.235535),6651,2022-02-04T18:12:30+00:00,26096.71663480252,1755947.515338404,1746502.1474015107
66,2022-02-04T14:04:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-04T14:04:02+00:00.csv,30.2357,-82.410835,12,18744,1.0,B2,POINT (-82.410835 30.2357),10415,2022-02-04T16:57:37+00:00,24437.653790362136,1566454.6461278405,1551446.7763931726
67,2022-02-04T13:22:16+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T13:22:16+00:00.csv,30.235748,-82.41203,A4,9926,1.0,B4,POINT (-82.41203 30.235748),8504,2022-02-04T15:44:00+00:00,44075.25452690934,6890076.184895895,6801709.164357503
68,2022-02-04T16:18:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T16:18:02+00:00.csv,30.235532,-82.41019,A4,79,1.0,D1,POINT (-82.41019 30.235532),0,2022-02-04T16:18:02+00:00,0.0,0.0,0.0
69,2022-02-04T16:26:55+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T16:26:55+00:00.csv,30.23537,-82.410235,A4,9494,1.0,D1,POINT (-82.410235 30.23537),6986,2022-02-04T18:23:21+00:00,61130.79791348297,2815301.286570032,2789515.658921418
70,2022-02-04T13:21:33+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-04T13:21:33+00:00.csv,30.236563,-82.412198,9,7558,1.0,C4,POINT (-82.412198 30.236563),6396,2022-02-04T15:08:09+00:00,39895.34074790684,4633645.430001733,4602316.7212221315
71,2022-02-04T15:34:51+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-04T15:34:51+00:00.csv,30.235763,-82.410495,9,11323,1.0,B1,POINT (-82.410495 30.235763),7781,2022-02-04T17:44:32+00:00,25864.597168341083,1586953.832555905,1572287.2631111334
72,2022-02-04T13:16:49+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-04T13:16:49+00:00.csv,30.236742,-82.412105,7,8078,1.0,C4,POINT (-82.412105 30.236742),6346,2022-02-04T15:02:35+00:00,46972.91049079937,5429640.984595915,5366829.476275317
73,2022-02-04T15:46:46+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-04T15:46:46+00:00.csv,30.236262,-82.409947,7,11040,1.0,B1,POINT (-82.409947 30.236262),5495,2022-02-04T17:18:21+00:00,4580.015368306079,2191296.474654903,2180258.169493828
