,dt,dataset,data_directory,clean_file,lat,lon,rad,N,sample_freq,geometry,burn_unit
43,2022-02-04 13:11:46+00:00,DATALOG_19_2022-02-04T13:11:46+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_19_2022-02-04T13:11:46+00:00.csv,30.236258,-82.411878,19,9791,1.0,POINT (364144.5180568002 3345808.136708462),B4
44,2022-02-04 16:30:12+00:00,DATALOG_19_2022-02-04T16:30:12+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_19_2022-02-04T16:30:12+00:00.csv,30.235322,-82.410408,19,9085,1.0,POINT (364284.6942742901 3345702.646162834),D1
45,2022-02-04 13:59:37+00:00,DATALOG_15_2022-02-04T13:59:37+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_15_2022-02-04T13:59:37+00:00.csv,30.2358,-82.411185,15,19635,1.0,POINT (364210.57777866704 3345756.5496231443),B2
46,2022-02-04 13:56:04+00:00,DATALOG_A3_2022-02-04T13:56:04+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A3_2022-02-04T13:56:04+00:00.csv,30.236098,-82.411312,A3,19955,1.0,POINT (364198.76588596264 3345789.728217157),B2
47,2022-02-04 12:42:06+00:00,DATALOG_17_2022-02-04T12:42:06+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_17_2022-02-04T12:42:06+00:00.csv,30.236935,-82.412725,17,9789,1.0,POINT (364063.94057922397 3345884.1797690103),C4
48,2022-02-04 15:35:19+00:00,DATALOG_17_2022-02-04T15:35:19+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_17_2022-02-04T15:35:19+00:00.csv,30.235978,-82.410333,17,11381,1.0,POINT (364292.8131584927 3345775.2603422934),B1
49,2022-02-04 13:12:38+00:00,DATALOG_5B_2022-02-04T13:12:38+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5B_2022-02-04T13:12:38+00:00.csv,30.236875,-82.412168,5B,8441,1.0,POINT (364117.45940088114 3345876.8644909607),C4
50,2022-02-04 15:44:43+00:00,DATALOG_5B_2022-02-04T15:44:43+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_5B_2022-02-04T15:44:43+00:00.csv,30.23624,-82.410232,5B,10814,1.0,POINT (364302.89267653506 3345804.1769807),B1
51,2022-02-04 13:04:57+00:00,DATALOG_18_2022-02-04T13:04:57+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_18_2022-02-04T13:04:57+00:00.csv,30.23607,-82.412242,18,10306,1.0,POINT (364109.23060685565 3345787.7357052146),B4
52,2022-02-04 16:25:09+00:00,DATALOG_18_2022-02-04T16:25:09+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_18_2022-02-04T16:25:09+00:00.csv,30.235497,-82.410532,18,9331,1.0,POINT (364273.0017669032 3345722.1891476177),D1
53,2022-02-04 12:51:42+00:00,DATALOG_666_2022-02-04T12:51:42+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-04T12:51:42+00:00.csv,30.235725,-82.412582,666,11962,1.0,POINT (364076.0365567886 3345749.9060091847),B4
54,2022-02-04 16:35:13+00:00,DATALOG_666_2022-02-04T16:35:13+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_666_2022-02-04T16:35:13+00:00.csv,30.235338,-82.409772,666,9376,1.0,POINT (364345.92094053957 3345703.6607707595),D1
55,2022-02-04 12:55:43+00:00,DATALOG_1_2022-02-04T12:55:43+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-04T12:55:43+00:00.csv,30.235752,-82.41229,1,11624,1.0,POINT (364104.17387294443 3345752.5494922353),B4
56,2022-02-04 16:31:45+00:00,DATALOG_1_2022-02-04T16:31:45+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_1_2022-02-04T16:31:45+00:00.csv,30.235562,-82.409853,1,9444,1.0,POINT (364338.43367637525 3345728.5830095736),D1
57,2022-02-04 12:58:15+00:00,DATALOG_22_2022-02-04T12:58:15+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-04T12:58:15+00:00.csv,30.236407,-82.412527,22,8849,1.0,POINT (364082.2679406825 3345825.425535605),C4
58,2022-02-04 15:30:32+00:00,DATALOG_22_2022-02-04T15:30:32+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_22_2022-02-04T15:30:32+00:00.csv,30.23636,-82.410722,22,11518,1.0,POINT (364255.9034833278 3345818.0611002627),B1
59,2022-02-04 14:09:53+00:00,DATALOG_10_2022-02-04T14:09:53+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_10_2022-02-04T14:09:53+00:00.csv,30.236272,-82.410918,10,18034,1.0,POINT (364236.9208903612 3345808.542092278),B2
60,2022-02-04 13:15:29+00:00,DATALOG_25_2022-02-04T13:15:29+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-04T13:15:29+00:00.csv,30.236083,-82.411943,25,10212,1.0,POINT (364138.0221873595 3345788.8193056346),B4
61,2022-02-04 16:38:30+00:00,DATALOG_25_2022-02-04T16:38:30+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_25_2022-02-04T16:38:30+00:00.csv,30.235115,-82.41021,25,8821,1.0,POINT (364303.46417459677 3345679.468392554),D1
62,2022-02-04 12:48:40+00:00,DATALOG_4_2022-02-04T12:48:40+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-04T12:48:40+00:00.csv,30.23669,-82.412682,4,9131,1.0,POINT (364067.7413620148 3345856.9753174973),C4
63,2022-02-04 15:49:18+00:00,DATALOG_4_2022-02-04T15:49:18+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_4_2022-02-04T15:49:18+00:00.csv,30.236118,-82.409933,4,10765,1.0,POINT (364331.4987282931 3345790.2992067914),B1
64,2022-02-04 12:41:54+00:00,DATALOG_16_2022-02-04T12:41:54+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-04T12:41:54+00:00.csv,30.236152,-82.412562,16,12317,1.0,POINT (364078.54886034434 3345797.2060113233),B4
65,2022-02-04 16:21:39+00:00,DATALOG_16_2022-02-04T16:21:39+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_16_2022-02-04T16:21:39+00:00.csv,30.235535,-82.410187,16,9596,1.0,POINT (364306.2545745439 3345725.9890270056),D1
66,2022-02-04 14:04:02+00:00,DATALOG_12_2022-02-04T14:04:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_12_2022-02-04T14:04:02+00:00.csv,30.2357,-82.410835,12,18744,1.0,POINT (364244.1219988371 3345745.048973054),B2
67,2022-02-04 13:22:16+00:00,DATALOG_A4_2022-02-04T13:22:16+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T13:22:16+00:00.csv,30.235748,-82.41203,A4,9926,1.0,POINT (364129.18905799347 3345751.7955781347),B4
68,2022-02-04 16:18:02+00:00,DATALOG_A4_2022-02-04T16:18:02+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T16:18:02+00:00.csv,30.235532,-82.41019,A4,79,1.0,POINT (364305.96175219456 3345725.6601195782),D1
69,2022-02-04 16:26:55+00:00,DATALOG_A4_2022-02-04T16:26:55+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_A4_2022-02-04T16:26:55+00:00.csv,30.23537,-82.410235,A4,9494,1.0,POINT (364301.4086681657 3345707.7595458217),D1
70,2022-02-04 13:21:33+00:00,DATALOG_9_2022-02-04T13:21:33+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-04T13:21:33+00:00.csv,30.236563,-82.412198,9,7558,1.0,POINT (364114.1431595921 3345842.3217411716),C4
71,2022-02-04 15:34:51+00:00,DATALOG_9_2022-02-04T15:34:51+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_9_2022-02-04T15:34:51+00:00.csv,30.235763,-82.410495,9,11323,1.0,POINT (364276.92793917935 3345751.6254476043),B1
72,2022-02-04 13:16:49+00:00,DATALOG_7_2022-02-04T13:16:49+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-04T13:16:49+00:00.csv,30.236742,-82.412105,7,8078,1.0,POINT (364123.33905772294 3345862.048998067),C4
73,2022-02-04 15:46:46+00:00,DATALOG_7_2022-02-04T15:46:46+00:00,/home/jepaki/Projects/Osceola/020422_Osceola_Radiometers_DualBand/,Clean/DATALOG_7_2022-02-04T15:46:46+00:00.csv,30.236262,-82.409947,7,11040,1.0,POINT (364330.3492723432 3345806.2752452856),B1
