Lambda[um],T_percent,T
0.64998375040624,81.66,0.8166
0.650026001040042,81.53,0.8153
0.650068257167003,81.35,0.8135
0.650110518788194,81.21,0.8121
0.650152785904688,81.18,0.8118
0.650195058517555,81.28,0.8128
0.650237336627869,81.46,0.8146
0.650279620236702,81.64,0.8164
0.650321909345126,81.73,0.8173
0.650364203954214,81.68,0.8168
0.650406504065041,81.51,0.8151
0.650448809678678,81.28,0.8128
0.650491120796201,81.08,0.8108
0.650533437418683,80.99,0.8099
0.650575759547199,81.06,0.8106
0.650618087182824,81.25,0.8125
0.650660420326632,81.5,0.815
0.650702758979698,81.71,0.8171
0.650745103143099,81.79,0.8179
0.65078745281791,81.73,0.8173
0.650829808005207,81.57,0.8157
0.650872168706066,81.36,0.8136
0.650914534921565,81.2,0.812
0.65095690665278,81.14,0.8114
