Lambda[um],T_percent,T
1.57616833477815,0.21,0.0021
1.57629255989912,0.25,0.0025
1.57641680460314,0.27,0.0027
1.57654106889484,0.26,0.0026
1.57666535277887,0.21,0.0021
1.57678965625986,0.12,0.0012
1.57691397934243,0.03,0.0003
1.57703832203123,-0.02,-0.0002
1.57716268433089,-0.02,-0.0002
1.57728706624606,0.04,0.0004
1.57741146778137,0.13,0.0013
1.57753588894147,0.22,0.0022
1.57766032973101,0.26,0.0026
1.57778479015462,0.25,0.0025
1.57790927021696,0.18,0.0018
1.57803376992268,0.11,0.0011
1.57815828927641,0.05,0.0005
1.57828282828283,0.04,0.0004
1.57840738694657,0.07,0.0007
1.5785319652723,0.1,0.001
1.57865656326466,0.13,0.0013
1.57878118092832,0.11,0.0011
1.57890581826794,0.06,0.0006
1.57903047528817,0,0
1.57915515199368,-0.04,-0.0004
1.57927984838913,-0.04,-0.0004
1.57940456447919,0,0
1.57952930026852,0.07,0.0007
1.57965405576179,0.16,0.0016
1.57977883096367,0.23,0.0023
1.57990362587882,0.29,0.0029
1.58002844051193,0.35,0.0035
1.58015327486766,0.4,0.004
1.5802781289507,0.46,0.0046
1.58040300276571,0.53,0.0053
1.58052789631737,0.58,0.0058
1.58065280961037,0.59,0.0059
1.58077774264938,0.56,0.0056
1.5809026954391,0.5,0.005
1.58102766798419,0.42,0.0042
1.58115266028935,0.37,0.0037
1.58127767235927,0.37,0.0037
1.58140270419862,0.41,0.0041
1.58152775581211,0.47,0.0047
1.58165282720443,0.53,0.0053
1.58177791838026,0.55,0.0055
1.5819030293443,0.52,0.0052
1.58202816010125,0.43,0.0043
1.5821533106558,0.31,0.0031
1.58227848101266,0.21,0.0021
1.58240367117652,0.14,0.0014
1.58252888115208,0.13,0.0013
1.58265411094405,0.14,0.0014
1.58277936055714,0.17,0.0017
1.58290462999604,0.16,0.0016
1.58302991926547,0.11,0.0011
1.58315522837014,0.02,0.0002
1.58328055731476,-0.08,-0.0008
1.58340590610403,-0.16,-0.0016
1.58353127474268,-0.19,-0.0019
1.58365666323541,-0.16,-0.0016
1.58378207158695,-0.08,-0.0008
1.58390749980201,0.01,0.0001
1.58403294788532,0.1,0.001
1.58415841584158,0.16,0.0016
1.58428390367554,0.19,0.0019
1.5844094113919,0.22,0.0022
1.5845349389954,0.24,0.0024
1.58466048649077,0.28,0.0028
1.58478605388273,0.34,0.0034
1.584911641176,0.39,0.0039
1.58503724837534,0.44,0.0044
1.58516287548546,0.48,0.0048
1.5852885225111,0.52,0.0052
1.585414189457,0.54,0.0054
1.58553987632789,0.56,0.0056
1.58566558312852,0.58,0.0058
1.58579130986362,0.59,0.0059
1.58591705653794,0.59,0.0059
1.58604282315623,0.59,0.0059
1.58616860972321,0.58,0.0058
1.58629441624365,0.57,0.0057
